Phase,Order,Exercise,Weight,Sets,Reps,Volume,Notes
Priming,w/u,"Priming • Dynamic 90/90 • Dead hang • Infant Squat • Combat Stretch",,,,,"Paul 2.0"
Paul 2.0,,Adduction,150,2,10,3000,
Paul 2.0,,Abduction,150,2,10,3000,
Paul 2.0,,Barbell Back Squat,185,5,6,5550,
Paul 2.0,,Hip Thrust,135,3,8,3240,
Paul 2.0,,Overhead Press,10,3,8,240,
Paul 2.0,,Hack Squat,126,3,8,3024,
Paul 2.0,,Upright Cable Rows,60,5,8,2400,
Paul 2.0,,Leg Press,126,3,8,3024,
Paul 2.0,,Back Extension,141,2,10,2821,
TOTALS,,,,28,56,11269,
